Назва,Місто/район,"Кількість підприємств, одиниць","Кількість зайнятих працівників, осіб","Кількість найманих працівників, осіб","Витрати
 на оплату праці,
 тис.грн","Обсяг реалізованої продукції(товарів, послуг), тис.грн"
м.Одеса,Місто,15576,178746,172703,16356237.8,283787934.8
м.Балта,Місто,84,1718,1686,114376.2,582941.6
м.Білгород-Дністровський,Місто,547,7551,7386,556858.7,3463838.4
м.Біляївка,Місто,136,2278,2232,124731.6,1820977.6
м.Ізмаїл,Місто,571,10285,10089,868971,5364392.2
м.Чорноморськ,Місто,864,17878,17563,2080534.7,17232547.3
м.Подільськ,Місто,119,1740,1716,130667.5,1101252.1
м.Теплодар,Місто,85,608,568,37283.9,172148.4
м.Южне,Місто,199,7316,7229,1554370.2,11242232.2
Ананьївський,Район,101,889,867,62239.2,744720.2
Арцизький,Район,315,2791,2685,169159.7,2447197.3
Балтський,Район,129,1020,933,79762.4,908309.6
Білгород-Дністровський,Район,309,3436,3323,305058.3,3428337.5
Біляївський,Район,544,5216,5004,402885.6,6253696
Березівський,Район,310,1445,1314,98231.2,1322152.9
Болградський,Район,394,3152,3019,200172.5,2098218.1
Великомихайлівський,Район,200,1723,1600,120370.6,1172522.1
Іванівський,Район,193,1696,1626,96626.2,1017123.7
Ізмаїльський,Район,534,2493,2122,126203.7,928683.4
Кілійський,Район,270,3167,3089,209993.4,1289280.5
Кодимський,Район,125,1122,1062,77604.8,720882.1
Лиманський,Район,831,10102,9795,1536472.8,13919025.3
Подільський,Район,76,1155,1116,71884,818595.3
Окнянський,Район,109,1214,1164,77238.4,940003
Любашівський,Район,198,1276,1207,87211.2,857431.3
Миколаївський,Район,176,797,720,55685.4,560054.2
Овідіопольський,Район,1175,10757,10251,803030.2,13969034.6
Роздільнянський,Район,275,2006,1887,134714.5,988459.6
Ренійський,Район,183,1723,1672,122720.7,1656305.8
Савранський,Район,94,1001,961,68773.9,624504.9
Саратський,Район,246,3349,3277,266041.3,4848837.8
Тарутинський,Район,237,2436,2369,155925.8,2344907.7
Татарбунарський,Район,376,1670,1575,98702.2,883253.2
Захарівський,Район,76,591,553,36208.7,233180.6
Ширяївський,Район,214,1285,1161,66509.8,961885.2
